rank,ticker,baseline_date,baseline_open,last_date,last_close,return,return_pct,tradingview_symbol,tradingview_4h_url
1,ALAB,2026-09-14,269.25,2026-09-24,360.51001,0.3389415404480036,33.89415404480036,NASDAQ:ALAB,https://www.tradingview.com/chart/?symbol=NASDAQ%3AALAB&interval=240
2,INTC,2026-09-14,95.82,2026-09-24,127.389999,0.3294719243933528,32.94719243933528,NASDAQ:INTC,https://www.tradingview.com/chart/?symbol=NASDAQ%3AINTC&interval=240
3,AMD,2026-09-14,486.279999,2026-09-24,629.26001,0.29402815527113857,29.40281552711386,NASDAQ:AMD,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAMD&interval=240
4,ARM,2026-09-14,242.380005,2026-09-24,306.339996,0.2638831181062231,26.388311810622312,NASDAQ:ARM,https://www.tradingview.com/chart/?symbol=NASDAQ%3AARM&interval=240
5,MSTR,2026-09-14,130.899994,2026-09-24,161.610001,0.23460663212981236,23.46066321298124,NASDAQ:MSTR,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMSTR&interval=240
6,RKLB,2026-09-14,60.549999,2026-09-24,73.610001,0.21568953819734227,21.568953819734226,NASDAQ:RKLB,https://www.tradingview.com/chart/?symbol=NASDAQ%3ARKLB&interval=240
7,MRVL,2026-09-14,215.809998,2026-09-24,258.950012,0.19989812861530987,19.989812861530986,NASDAQ:MRVL,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMRVL&interval=240
8,MU,2026-09-14,906.030029,2026-09-24,1080.530029,0.19259847285130371,19.25984728513037,NASDAQ:MU,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMU&interval=240
9,NBIS,2026-09-14,204.979996,2026-09-24,243.479996,0.18782320617849213,18.782320617849212,NASDAQ:NBIS,https://www.tradingview.com/chart/?symbol=NASDAQ%3ANBIS&interval=240
10,CRWD,2026-09-14,219.0,2026-09-24,259.670013,0.18570782387093332,18.57078238709333,NASDAQ:CRWD,https://www.tradingview.com/chart/?symbol=NASDAQ%3ACRWD&interval=240
11,META,2026-09-14,657.311303,2026-09-24,777.590027,0.1829859365064408,18.29859365064408,NASDAQ:META,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMETA&interval=240
12,STX,2026-09-14,777.496762,2026-09-24,905.919983,0.165175247885067,16.517524788506698,NASDAQ:STX,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASTX&interval=240
13,SNDK,2026-09-14,1521.525024,2026-09-24,1753.619995,0.15254101442893098,15.254101442893099,NASDAQ:SNDK,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASNDK&interval=240
14,DDOG,2026-09-14,225.020004,2026-09-24,256.920013,0.1417652144235495,14.17652144235495,NASDAQ:DDOG,https://www.tradingview.com/chart/?symbol=NASDAQ%3ADDOG&interval=240
15,QCOM,2026-09-14,170.779999,2026-09-24,194.259995,0.13748680112056233,13.748680112056233,NASDAQ:QCOM,https://www.tradingview.com/chart/?symbol=NASDAQ%3AQCOM&interval=240
16,PLTR,2026-09-14,169.695007,2026-09-24,192.589996,0.1349184597395301,13.491845973953009,NASDAQ:PLTR,https://www.tradingview.com/chart/?symbol=NASDAQ%3APLTR&interval=240
17,MPWR,2026-09-14,1184.430054,2026-09-24,1335.550049,0.1275887880788853,12.758878807888529,NASDAQ:MPWR,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMPWR&interval=240
18,PANW,2026-09-14,346.48999,2026-09-24,389.920013,0.12534279320445063,12.534279320445062,NASDAQ:PANW,https://www.tradingview.com/chart/?symbol=NASDAQ%3APANW&interval=240
19,SHOP,2026-09-14,129.139999,2026-09-24,145.160004,0.12405145073699808,12.405145073699808,NASDAQ:SHOP,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASHOP&interval=240
20,AMAT,2026-09-14,422.200012,2026-09-24,474.25,0.12328277188074876,12.328277188074876,NASDAQ:AMAT,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAMAT&interval=240
21,LRCX,2026-09-14,274.708175,2026-09-24,307.160004,0.11813200743170427,11.813200743170427,NASDAQ:LRCX,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALRCX&interval=240
22,CDNS,2026-09-14,288.0,2026-09-24,322.0,0.11805555555555558,11.805555555555557,NASDAQ:CDNS,https://www.tradingview.com/chart/?symbol=NASDAQ%3ACDNS&interval=240
23,TER,2026-09-14,347.119995,2026-09-24,387.700012,0.11690486765576247,11.690486765576246,NASDAQ:TER,https://www.tradingview.com/chart/?symbol=NASDAQ%3ATER&interval=240
24,KLAC,2026-09-14,168.080002,2026-09-24,187.110001,0.11321988679191497,11.321988679191497,NASDAQ:KLAC,https://www.tradingview.com/chart/?symbol=NASDAQ%3AKLAC&interval=240
25,WBD,2026-09-14,27.950001,2026-09-24,30.84,0.10339890199503876,10.339890199503877,NASDAQ:WBD,https://www.tradingview.com/chart/?symbol=NASDAQ%3AWBD&interval=240
26,FTNT,2026-09-14,162.330002,2026-09-24,178.669998,0.10065912741685623,10.065912741685622,NASDAQ:FTNT,https://www.tradingview.com/chart/?symbol=NASDAQ%3AFTNT&interval=240
27,CRWV,2026-09-14,82.650002,2026-09-24,90.129997,0.0905020639981109,9.050206399811088,NASDAQ:CRWV,https://www.tradingview.com/chart/?symbol=NASDAQ%3ACRWV&interval=240
28,ASML,2026-09-14,1594.209961,2026-09-24,1722.5,0.08047248618811609,8.047248618811608,NASDAQ:ASML,https://www.tradingview.com/chart/?symbol=NASDAQ%3AASML&interval=240
29,LITE,2026-09-14,860.875,2026-09-24,929.039978,0.07918104025246842,7.9181040252468415,NASDAQ:LITE,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALITE&interval=240
30,WDC,2026-09-14,417.320007,2026-09-24,450.309998,0.07905202160304015,7.905202160304015,NASDAQ:WDC,https://www.tradingview.com/chart/?symbol=NASDAQ%3AWDC&interval=240
31,SNPS,2026-09-14,393.890015,2026-09-24,424.910004,0.07875292051096672,7.875292051096672,NASDAQ:SNPS,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASNPS&interval=240
