rank,ticker,baseline_date,baseline_open,last_date,last_close,return,return_pct,tradingview_symbol,tradingview_4h_url
1,SPCX,2026-08-05,112.370003,2026-08-18,143.339996,0.2756073047462002,27.560730474620023,NASDAQ:SPCX,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASPCX&interval=240
2,ABNB,2026-08-05,153.912994,2026-08-18,183.25,0.19060772439976748,19.06077243997675,NASDAQ:ABNB,https://www.tradingview.com/chart/?symbol=NASDAQ%3AABNB&interval=240
3,SNDK,2026-08-05,1398.77002,2026-08-18,1625.780029,0.16229259034426513,16.229259034426512,NASDAQ:SNDK,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASNDK&interval=240
4,NBIS,2026-08-05,219.949997,2026-08-18,248.429993,0.12948395600224027,12.948395600224028,NASDAQ:NBIS,https://www.tradingview.com/chart/?symbol=NASDAQ%3ANBIS&interval=240
5,WBD,2026-08-05,25.790001,2026-08-18,28.48,0.10430393684435346,10.430393684435346,NASDAQ:WBD,https://www.tradingview.com/chart/?symbol=NASDAQ%3AWBD&interval=240
6,FANG,2026-08-05,190.858912,2026-08-18,210.020004,0.10039401207318255,10.039401207318255,NASDAQ:FANG,https://www.tradingview.com/chart/?symbol=NASDAQ%3AFANG&interval=240
7,WDAY,2026-08-05,173.639999,2026-08-18,190.634995,0.09787488583808801,9.787488583808802,NASDAQ:WDAY,https://www.tradingview.com/chart/?symbol=NASDAQ%3AWDAY&interval=240
8,VRTX,2026-08-05,487.519989,2026-08-18,528.190002,0.08342224799852027,8.342224799852026,NASDAQ:VRTX,https://www.tradingview.com/chart/?symbol=NASDAQ%3AVRTX&interval=240
9,AMGN,2026-08-05,393.359985,2026-08-18,425.279999,0.08114707803643562,8.114707803643562,NASDAQ:AMGN,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAMGN&interval=240
10,INTU,2026-08-05,327.309998,2026-08-18,350.410004,0.07057531476526435,7.057531476526435,NASDAQ:INTU,https://www.tradingview.com/chart/?symbol=NASDAQ%3AINTU&interval=240
11,STX,2026-08-05,848.130005,2026-08-18,903.679993,0.0654970198827527,6.549701988275269,NASDAQ:STX,https://www.tradingview.com/chart/?symbol=NASDAQ%3ASTX&interval=240
12,MU,2026-08-05,885.299988,2026-08-18,940.76001,0.06264545661060805,6.264545661060805,NASDAQ:MU,https://www.tradingview.com/chart/?symbol=NASDAQ%3AMU&interval=240
13,CPRT,2026-08-05,29.709999,2026-08-18,31.51,0.06058570177977263,6.058570177977263,NASDAQ:CPRT,https://www.tradingview.com/chart/?symbol=NASDAQ%3ACPRT&interval=240
14,ASML,2026-08-05,1700.420044,2026-08-18,1802.97998,0.06031447164400516,6.031447164400516,NASDAQ:ASML,https://www.tradingview.com/chart/?symbol=NASDAQ%3AASML&interval=240
15,DASH,2026-08-05,204.205002,2026-08-18,216.350006,0.05947456802507167,5.947456802507167,NASDAQ:DASH,https://www.tradingview.com/chart/?symbol=NASDAQ%3ADASH&interval=240
16,PLTR,2026-08-05,162.0,2026-08-18,171.539993,0.058888847445264236,5.888884744526424,NASDAQ:PLTR,https://www.tradingview.com/chart/?symbol=NASDAQ%3APLTR&interval=240
17,LITE,2026-08-05,824.789978,2026-08-18,873.309998,0.05882712062929718,5.882712062929718,NASDAQ:LITE,https://www.tradingview.com/chart/?symbol=NASDAQ%3ALITE&interval=240
18,RKLB,2026-08-05,74.879997,2026-08-18,79.160004,0.05715820734082677,5.715820734082677,NASDAQ:RKLB,https://www.tradingview.com/chart/?symbol=NASDAQ%3ARKLB&interval=240
19,REGN,2026-08-05,767.97998,2026-08-18,810.23999,0.05502748878926611,5.502748878926611,NASDAQ:REGN,https://www.tradingview.com/chart/?symbol=NASDAQ%3AREGN&interval=240
20,GILD,2026-08-05,136.0,2026-08-18,143.440002,0.054705900304457655,5.4705900304457655,NASDAQ:GILD,https://www.tradingview.com/chart/?symbol=NASDAQ%3AGILD&interval=240
21,CMCSA,2026-08-05,24.92,2026-08-18,26.200001,0.05136439336784582,5.136439336784582,NASDAQ:CMCSA,https://www.tradingview.com/chart/?symbol=NASDAQ%3ACMCSA&interval=240
22,ISRG,2026-08-05,372.799988,2026-08-18,391.179993,0.04930258981934221,4.930258981934221,NASDAQ:ISRG,https://www.tradingview.com/chart/?symbol=NASDAQ%3AISRG&interval=240
23,TMUS,2026-08-05,175.199997,2026-08-18,182.75,0.043093625475280284,4.309362547528028,NASDAQ:TMUS,https://www.tradingview.com/chart/?symbol=NASDAQ%3ATMUS&interval=240
24,TSLA,2026-08-05,323.420013,2026-08-18,336.869995,0.04158673282739933,4.158673282739933,NASDAQ:TSLA,https://www.tradingview.com/chart/?symbol=NASDAQ%3ATSLA&interval=240
25,DXCM,2026-08-05,86.470001,2026-08-18,89.599998,0.036197492878820015,3.6197492878820015,NASDAQ:DXCM,https://www.tradingview.com/chart/?symbol=NASDAQ%3ADXCM&interval=240
26,NFLX,2026-08-05,75.110001,2026-08-18,77.769997,0.03541467196244774,3.541467196244774,NASDAQ:NFLX,https://www.tradingview.com/chart/?symbol=NASDAQ%3ANFLX&interval=240
27,ADSK,2026-08-05,238.429993,2026-08-18,246.789993,0.03506270547816337,3.506270547816337,NASDAQ:ADSK,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADSK&interval=240
28,BKR,2026-08-05,62.310772,2026-08-18,64.440002,0.03417114200736404,3.417114200736404,NASDAQ:BKR,https://www.tradingview.com/chart/?symbol=NASDAQ%3ABKR&interval=240
29,GEHC,2026-08-05,70.330002,2026-08-18,72.629997,0.03270290576542689,3.2702905765426893,NASDAQ:GEHC,https://www.tradingview.com/chart/?symbol=NASDAQ%3AGEHC&interval=240
30,ALNY,2026-08-05,221.740005,2026-08-18,228.610001,0.03098220865426682,3.098220865426682,NASDAQ:ALNY,https://www.tradingview.com/chart/?symbol=NASDAQ%3AALNY&interval=240
